"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.059","0.059","0.003","0.006","0.115","0.112","10,000"
"2","$K$","30,025","27,876","22,407","22,614","49,122","42,887","10,000"
"3","$N_{min}$"," 6,694"," 3,186","    70","   124","23,063","20,930","10,000"
"4","$N_{2008}$","20,198","20,181"," 1,491"," 2,426","39,038","37,963","10,000"
"5","$N_{2012}$","21,221","21,701"," 1,868"," 2,984","39,153","38,095","10,000"
"6","$N_{2018}$","22,622","22,902"," 2,468"," 4,126","39,300","38,263","10,000"
"7","Max depletion","0.187","0.113","0.003","0.005","0.543","0.516","10,000"
"8","Depletion in 2008","0.654","0.707","0.058","0.093","1","1","10,000"
"9","Depletion in 2012","0.695","0.785","0.071","0.116","1","1","10,000"
"10","Depletion in 2018","0.75","0.884","0.094","0.155","1","1","10,000"
