"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.093","0.055","0.061","0.116","0.115","5,000"
"2","$K$","30,045","29,533","26,042","26,436","36,850","35,365","5,000"
"3","$N_{min}$","   475","   376","   193","   205"," 1,333"," 1,101","5,000"
"4","$N_{2008}$","14,985","14,951","13,184","13,471","16,902","16,609","5,000"
"5","$N_{2012}$","19,438","19,435","17,532","17,792","21,418","21,105","5,000"
"6","$N_{2018}$","25,187","25,194","22,782","23,222","27,633","27,125","5,000"
"7","Max depletion","0.015","0.013","0.007","0.007","0.039","0.033","5,000"
"8","Depletion in 2008","0.502","0.502","0.405","0.421","0.599","0.582","5,000"
"9","Depletion in 2012","0.652","0.656","0.509","0.532","0.77","0.755","5,000"
"10","Depletion in 2018","0.844","0.861","0.656","0.696","0.942","0.935","5,000"
