"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.093","0.053","0.059","0.115","0.116","10,000"
"2","$K$","26,997","26,461","23,140","23,558","32,147","33,594","10,000"
"3","$N_{min}$","   586","   486","   198","   212"," 1,226"," 1,442","10,000"
"4","$N_{2008}$","15,037","15,013","13,298","13,556","16,606","16,929","10,000"
"5","$N_{2012}$","18,994","18,984","17,265","17,533","20,499","20,799","10,000"
"6","$N_{2019}$","24,050","23,948","21,959","22,260","26,384","27,079","10,000"
"7","Max depletion","0.021","0.018","0.008","0.008","0.04","0.045","10,000"
"8","Depletion in 2008","0.562","0.563","0.446","0.466","0.651","0.67","10,000"
"9","Depletion in 2012","0.71","0.718","0.552","0.58","0.815","0.83","10,000"
"10","Depletion in 2019","0.897","0.916","0.72","0.762","0.968","0.972","10,000"
