"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.093","0.056","0.08","0.105","0.116","10,000"
"2","$K$","30,179","29,719","26,109","28,290","31,512","36,868","10,000"
"3","$N_{min}$","   504","   416","   194","   300","   600"," 1,341","10,000"
"4","$N_{2006}$","12,917","12,844","11,131","12,220","13,561","15,003","10,000"
"5","$N_{2008}$","14,978","14,934","13,251","14,352","15,580","16,859","10,000"
"6","$N_{2012}$","19,445","19,446","17,536","18,774","20,106","21,370","10,000"
"7","$N_{2019}$","25,946","25,935","23,642","25,165","26,687","28,423","10,000"
"8","$N_{2030}$","29,489","29,323","26,052","28,088","30,627","34,352","10,000"
"9","Max depletion","0.016","0.014","0.007","0.011","0.019","0.039","10,000"
"10","Depletion in 2006","0.43","0.43","0.352","0.404","0.455","0.51","10,000"
"11","Depletion in 2008","0.5","0.5","0.406","0.469","0.53","0.593","10,000"
"12","Depletion in 2012","0.65","0.654","0.509","0.607","0.697","0.769","10,000"
"13","Depletion in 2019","0.866","0.882","0.686","0.829","0.921","0.956","10,000"
"14","Depletion in 2030","0.979","0.99","0.894","0.977","0.996","0.999","10,000"
