"","Parameter","Mean","Median","2.5% CI","5% CI","95% CI","97.5% CI","Unique"
"1","$r_{max}$","0.088","0.089","0.053","0.058","0.114","0.116","10,000"
"2","$K$","28,594","28,296","23,687","24,191","34,135","35,709","10,000"
"3","$N_{min}$","   530","   432","   196","   211"," 1,194"," 1,384","10,000"
"4","$N_{2008}$","15,425","15,061","13,249","13,518","19,491","20,151","10,000"
"5","$N_{2012}$","19,003","19,312","14,334","14,896","21,160","21,494","10,000"
"6","$N_{2019}$","25,608","25,677","22,739","23,132","27,929","28,536","10,000"
"7","Max depletion","0.018","0.015","0.007","0.008","0.039","0.045","10,000"
"8","Depletion in 2008","0.544","0.539","0.422","0.441","0.664","0.699","10,000"
"9","Depletion in 2012","0.673","0.681","0.462","0.487","0.829","0.855","10,000"
"10","Depletion in 2019","0.903","0.915","0.716","0.755","1","1","10,000"
