"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.084","0.084","0.051","0.071","0.098","0.115","911"
"2","$K$","25,992","25,755","23,330","24,637","27,063","30,032","911"
"3","$N_{min}$","   566","   468","   185","   321","   704"," 1,405","911"
"4","$N_{2006}$","12,733","12,710","10,934","11,941","13,432","14,849","911"
"5","$N_{2008}$","14,851","14,827","13,142","14,161","15,444","16,669","911"
"6","$N_{2012}$","19,663","19,673","17,727","19,027","20,309","21,393","911"
"7","$N_{2019}$","24,932","24,957","23,282","24,357","25,586","26,576","911"
"8","$N_{2030}$","25,916","25,747","23,330","24,637","27,045","29,698","911"
"9","Max depletion","0.021","0.018","0.008","0.013","0.026","0.048","911"
"10","Depletion in 2006","0.49","0.488","0.432","0.471","0.51","0.555","911"
"11","Depletion in 2008","0.573","0.572","0.494","0.546","0.599","0.653","911"
"12","Depletion in 2012","0.761","0.765","0.626","0.712","0.815","0.885","911"
"13","Depletion in 2019","0.963","0.982","0.836","0.949","0.995","0.999","911"
"14","Depletion in 2030","0.998","1","0.988","1","1","1","911"
