"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.087","0.088","0.051","0.074","0.101","0.116","10,000"
"2","$K$","27,407","27,193","22,821","25,559","28,929","33,578","10,000"
"3","$N_{min}$","   541","   440","   198","   316","   662"," 1,399","10,000"
"4","$N_{2006}$","12,926","12,885","11,030","12,210","13,592","15,072","10,000"
"5","$N_{2008}$","14,941","14,913","13,173","14,296","15,545","16,849","10,000"
"6","$N_{2012}$","19,364","19,348","17,447","18,702","20,020","21,332","10,000"
"7","$N_{2019}$","24,866","24,925","22,369","24,213","25,584","27,007","10,000"
"8","$N_{2030}$","27,025","27,068","22,807","25,525","28,493","31,324","10,000"
"9","Max depletion","0.019","0.016","0.008","0.012","0.024","0.048","10,000"
"10","Depletion in 2006","0.475","0.474","0.389","0.443","0.506","0.562","10,000"
"11","Depletion in 2008","0.549","0.549","0.445","0.513","0.588","0.653","10,000"
"12","Depletion in 2012","0.714","0.711","0.555","0.658","0.768","0.889","10,000"
"13","Depletion in 2019","0.914","0.927","0.733","0.873","0.975","1","10,000"
"14","Depletion in 2030","0.988","0.996","0.921","0.987","1","1"," 9,240"
