"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.091","0.094","0.054","0.08","0.106","0.117","10,000"
"2","$K$","28,198","27,726","25,296","26,658","29,233","33,606","10,000"
"3","$N_{min}$","   477","   374","   193","   281","   563"," 1,312","10,000"
"4","$N_{2006}$","13,005","12,933","11,169","12,300","13,669","15,141","10,000"
"5","$N_{2008}$","15,015","14,979","13,284","14,370","15,634","16,925","10,000"
"6","$N_{2012}$","19,231","19,237","17,371","18,604","19,857","21,037","10,000"
"7","$N_{2019}$","24,866","24,892","23,088","24,358","25,427","26,367","10,000"
"8","$N_{2030}$","27,651","27,471","25,259","26,545","28,606","30,823","10,000"
"9","Max depletion","0.016","0.013","0.007","0.011","0.019","0.04","10,000"
"10","Depletion in 2006","0.462","0.461","0.396","0.438","0.486","0.537","10,000"
"11","Depletion in 2008","0.535","0.535","0.449","0.506","0.564","0.621","10,000"
"12","Depletion in 2012","0.686","0.693","0.546","0.647","0.732","0.794","10,000"
"13","Depletion in 2019","0.887","0.906","0.713","0.855","0.937","0.964","10,000"
"14","Depletion in 2030","0.983","0.993","0.903","0.981","0.997","0.999","10,000"
