"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.094","0.097","0.056","0.083","0.107","0.117","4,605"
"2","$K$","27,915","27,474","25,239","26,448","28,821","33,097","4,605"
"3","$N_{min}$","   438","   344","   189","   270","   501"," 1,227","4,605"
"4","$N_{2006}$","12,922","12,852","11,154","12,196","13,551","15,039","4,605"
"5","$N_{2008}$","14,978","14,943","13,253","14,318","15,573","16,866","4,605"
"6","$N_{2012}$","19,281","19,275","17,445","18,677","19,885","21,122","4,605"
"7","$N_{2019}$","24,897","24,897","23,243","24,402","25,422","26,362","4,605"
"8","$N_{2030}$","27,466","27,282","25,193","26,362","28,378","30,709","4,605"
"9","Max depletion","0.015","0.013","0.007","0.01","0.018","0.038","4,605"
"10","Depletion in 2006","0.464","0.462","0.4","0.44","0.487","0.537","4,605"
"11","Depletion in 2008","0.539","0.539","0.454","0.51","0.567","0.623","4,605"
"12","Depletion in 2012","0.695","0.702","0.556","0.657","0.739","0.796","4,605"
"13","Depletion in 2019","0.896","0.914","0.729","0.87","0.941","0.965","4,605"
"14","Depletion in 2030","0.986","0.994","0.914","0.985","0.997","0.999","4,605"
