"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.092","0.095","0.054","0.081","0.106","0.117","10,000"
"2","$K$","25,691","25,359","23,775","24,609","26,387","29,421","10,000"
"3","$N_{min}$","   468","   361","   197","   275","   537"," 1,290","10,000"
"4","$N_{2006}$","13,076","13,025","11,246","12,358","13,728","15,263","10,000"
"5","$N_{2008}$","15,008","14,980","13,267","14,368","15,608","16,919","10,000"
"6","$N_{2012}$","18,861","18,869","17,196","18,309","19,422","20,475","10,000"
"7","$N_{2019}$","23,426","23,448","22,224","23,120","23,773","24,428","10,000"
"8","$N_{2030}$","25,349","25,219","23,746","24,554","26,026","27,536","10,000"
"9","Max depletion","0.018","0.014","0.008","0.011","0.02","0.044","10,000"
"10","Depletion in 2006","0.509","0.508","0.446","0.485","0.532","0.582","10,000"
"11","Depletion in 2008","0.585","0.585","0.507","0.558","0.612","0.668","10,000"
"12","Depletion in 2012","0.737","0.742","0.614","0.703","0.778","0.831","10,000"
"13","Depletion in 2019","0.915","0.931","0.774","0.892","0.953","0.972","10,000"
"14","Depletion in 2030","0.988","0.995","0.931","0.988","0.998","0.999","10,000"
