"","Parameter","Mean","Median","2.5% CI","25% CI","75% CI","97.5% CI","Unique"
"1","$r_{max}$","0.089","0.091","0.05","0.076","0.103","0.116"," 9,999"
"2","$K$","25,479","24,914","22,184","23,727","26,639","31,934","10,000"
"3","$N_{min}$","   617","   531","   204","   333","   803"," 1,491","10,000"
"4","$N_{2006}$","13,250","13,193","11,379","12,507","13,933","15,457","10,000"
"5","$N_{2008}$","15,077","15,054","13,339","14,403","15,689","17,023","10,000"
"6","$N_{2012}$","18,661","18,655","17,005","18,099","19,222","20,314","10,000"
"7","$N_{2019}$","22,937","22,927","21,356","22,325","23,516","24,647","10,000"
"8","$N_{2030}$","24,985","24,734","22,159","23,657","26,113","28,973","10,000"
"9","Max depletion","0.023","0.021","0.009","0.014","0.03","0.048","10,000"
"10","Depletion in 2006","0.523","0.522","0.434","0.493","0.553","0.616","10,000"
"11","Depletion in 2008","0.596","0.598","0.48","0.561","0.633","0.7","10,000"
"12","Depletion in 2012","0.739","0.749","0.571","0.697","0.791","0.855","10,000"
"13","Depletion in 2019","0.907","0.927","0.724","0.879","0.955","0.977","10,000"
"14","Depletion in 2030","0.983","0.994","0.899","0.983","0.998","0.999","10,000"
